mu sigma
3.0988195080976166 4.677374425965829
3.302138747778266 4.085942227139611
3.011790551402148 3.9908417435462598
2.8252720038841628 4.004295928440232
3.3518293612671117 4.12817648842432
2.4829845682375464 4.270328225128314
3.2173722644420804 4.042670538599112
3.3079278285851688 4.094219266924428
2.7895939547524042 4.016157594731004
3.3658800255970447 4.5372413324892955
2.684602813320785 4.623473379774534
3.450178058777246 4.368414202437551
3.4495518909180016 4.319320404141604
3.3518752236691394 4.5488893735797244
2.494181988919241 4.433330414444095
3.398665072730062 4.495167518345418
3.417479227635205 4.221212355974175
2.4824258740919776 4.375968895990459
2.580744614383942 4.1324459275285825
3.0557976705995453 4.673266113478089
2.4913441204209024 4.412418127321792
2.8600011342718847 4.004867596329316
2.517544890803514 4.212054239998377
2.998458436693469 4.677815745968405
2.84112707913702 4.008721346443078
3.367489512413938 4.524734009364541
2.9442655250371086 3.998978851104229
3.3268084869312675 4.119708041068336
2.7644178254194065 4.030350036076942
2.7763131791674622 4.026882824595044
3.1979944472538957 4.633364799956446
3.149885666887977 4.648596144465994
3.4248185898052843 4.426087285367045
3.316811216880211 4.114928204178834
2.8292033002567973 4.66010418105327
3.405448657140214 4.21885959883936
2.647585679539205 4.088830231688389
3.3893286429748426 4.194278578162713
2.555857349881797 4.170975518243399
3.4162885169355115 4.245401370144491
2.8885087639316605 4.007536368537754
3.268977891166269 4.593062701834741
2.6264439768317533 4.572611381115952
2.4972395814789516 4.29247449572521
3.010716893884721 4.005469411803069
3.419570387840792 -4.259594924309711
2.71946499867304 4.05354918153834
3.1018065081856596 4.65491217579854
2.494129750185755 4.326983713574298
2.963450361161107 4.00454178491466
3.157565305196938 4.035364603704951
2.5078284337562335 4.419246620444811
3.309958820196682 4.116211466068461
3.0749261075449263 4.6577952138464065
3.4076981235539643 4.4423456198369005
2.8979965440778015 4.009729365486279
3.0913293369092307 4.654238958611832
2.7557824408012492 4.632293094576669
2.559593297001971 4.175613923566459
3.225925534835562 4.065813883202379
2.939006507110989 4.007878699899415
3.050499534992273 4.013459055821089
2.771406184069412 4.037744597089167
3.0956061173376743 4.0220890488062695
2.849513393312343 4.018917067236838
2.9514847078929707 4.008768938854621
2.545379536951643 4.199835272951205
3.315162947001189 4.550471966732226
2.789220825810299 4.63915665262629
2.6339611254411706 4.566673047296381
2.9645636963569553 4.01019936146595
3.410306582128836 4.262573993072106
2.5109376795682494 4.281893590413595
2.9591677958746994 4.660744365788468
3.395927820435655 -4.448180799281593
3.2360009813125123 4.598050317847314
3.37147286149294 4.484884247812455
3.4185646506154903 4.309073118396878
2.656018619685426 4.576863630774129
3.0015797765398076 -4.013554692097593
2.5112479778754433 4.294965553183092
3.2114113462018015 4.066020494507794
2.552010217284823 4.475795497930399
2.663606981841168 4.097254476340035
3.135565681385576 4.0398765070213765
3.2816374585262222 4.1103880272901545
3.3996489847930564 4.260698270986289
2.735587172496707 4.61026804287056
3.004898498673867 4.651813684185208
3.0805018397216064 -4.641770421088671
3.098298511312797 4.63760428636659
3.3955701251642108 4.419819149513683
3.203557757854453 4.069237145078823
3.331639351300821 4.514755812859614
3.13818844076223 4.624615772171406
2.6793853891295005 4.094371352000161
2.6115701393931428 4.145151793771302
2.6818212004122253 4.57846181280806
3.147445740920075 4.620624257614018
2.520396607324424 4.329340654476702
3.270563936236501 4.562246950423235
2.52330219363352 4.306679545265491
2.729241924368355 4.070051200885085
3.08539713065356 4.634711480622858
3.117575943160406 4.042375557315966
3.0511276180772176 4.0288411826153405
2.882134350036767 4.640678751426635
2.828364794075755 4.631124563910403
3.3962484820682475 4.394400690315355
3.388838133034384 4.411937904394227
3.2050454746306554 4.07679171410639
2.677108138133965 4.569333198252545
3.29179327544234 -4.539981740570303
2.757646782540039 4.062546583506224
